id,,Taxon,,,,,,,,,,,,,,Number scaffolds,,,,Number genes,,,,,Genome size (Mbp),,,,Average completeness,,,,s.d. of completeness,,,,,,,Contamination,,
SURF_26,,SURF-CP-2,,,,,,,,,,,,,,105,,,,2775,,,,,3.54,,,,87.7,,,,3.7,,,,,,,5.4,,
SURF_27,,Chloroflexi; Dehalococcoidia,,,,,,,,,,,,,,71,,,,2067,,,,,1.80,,,,86.8,,,,2.4,,,,,,,1.9,,
SURF_28,,Ignavibacteriales,,,,,,,,,,,,,,117,,,,2337,,,,,2.45,,,,85.9,,,,10.0,,,,,,,3,,
SURF_29,,WCHB1-60,,,,,,,,,,,,,,61,,,,1573,,,,,1.55,,,,85.6,,,,9.5,,,,,,,6,,
SURF_30,,Chloroflexi; Anaerolineaceae,,,,,,,,,,,,,,84,,,,2238,,,,,2.26,,,,85.5,,,,2.3,,,,,,,2.2,,
SURF_31,,Parcubacteria,,,,,,,,,,,,,,21,,,,1047,,,,,0.99,,,,84.0,,,,11.5,,,,,,,0.6,,
SURF_32,,Planctomycetes; Phycisphaerales,,,,,,,,,,,,,,155,,,,3489,,,,,4.31,,,,82.7,,,,12.8,,,,,,,4.4,,
SURF_33,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,137,,,,3507,,,,,3.72,,,,82.3,,,,3.0,,,,,,,3.2,,
SURF_34,,Proteobacteria; Deltaproteobacteria,,,,,,,,,,,,,,108,,,,2002,,,,,1.92,,,,80.6,,,,7.9,,,,,,,3.8,,
SURF_35,,Nitrospirae; Nitrospiraceae,,,,,,,,,,,,,,63,,,,1502,,,,,1.40,,,,80.4,,,,7.3,,,,,,,1.3,,
SURF_36,,Firmicutes,,,,,,,,,,,,,,101,,,,2261,,,,,2.32,,,,80.3,,,,5.6,,,,,,,2,,
SURF_37,,Parcubacteria,,,,,,,,,,,,,,13,,,,1017,,,,,0.93,,,,79.0,,,,9.9,,,,,,,0.7,,
SURF_38,,Parcubacteria,,,,,,,,,,,,,,14,,,,774,,,,,0.69,,,,78.8,,,,11.3,,,,,,,0.6,,
SURF_39,,Firmicutes; Dethiobacter,,,,,,,,,,,,,,79,,,,2434,,,,,2.34,,,,78.5,,,,9.6,,,,,,,4,,
SURF_40,,Chloroflexi; Dehalococcoidia,,,,,,,,,,,,,,74,,,,1662,,,,,1.56,,,,76.8,,,,14.0,,,,,,,3.9,,
SURF_41,,Parcubacteria,,,,,,,,,,,,,,18,,,,804,,,,,0.72,,,,76.4,,,,9.7,,,,,,,0.9,,
SURF_42,,Chloroflexi; Anaerolineaceae,,,,,,,,,,,,,,143,,,,2257,,,,,2.78,,,,76.3,,,,8.6,,,,,,,2.8,,
SURF_43,,Chloroflexi; Dehalococcoidia,,,,,,,,,,,,,,82,,,,2131,,,,,2.01,,,,76.3,,,,8.8,,,,,,,2.2,,
SURF_44,,Microgenomates,,,,,,,,,,,,,,34,,,,1343,,,,,1.28,,,,75.9,,,,8.4,,,,,,,9.6,,
SURF_45,,Nitrospirae; Nitrospiraceae,,,,,,,,,,,,,,74,,,,3041,,,,,3.05,,,,75.3,,,,10.7,,,,,,,6.5,,
SURF_46,,WWE3,,,,,,,,,,,,,,25,,,,1169,,,,,1.10,,,,74.8,,,,12.2,,,,,,,2,,
SURF_47,,Actinobacteria,,,,,,,,,,,,,,22,,,,1501,,,,,1.52,,,,74.7,,,,10.8,,,,,,,2.9,,
SURF_48,,Proteobacteria; Desulfobulbus,,,,,,,,,,,,,,108,,,,2395,,,,,2.64,,,,74.7,,,,6.8,,,,,,,2.8,,
SURF_49,,Microgenomates,,,,,,,,,,,,,,29,,,,1300,,,,,1.15,,,,74.7,,,,16.3,,,,,,,5.7,,
SURF_50,,Parcubacteria,,,,,,,,,,,,,,104,,,,2242,,,,,2.04,,,,73.2,,,,9.7,,,,,,,3,,
SURF_51,,Parcubacteria,,,,,,,,,,,,,,34,,,,769,,,,,0.72,,,,71.8,,,,10.9,,,,,,,1.3,,
SURF_52,,Proteobacteria; Deltaproteobacteria,,,,,,,,,,,,,,179,,,,3873,,,,,3.93,,,,72.0,,,,3.7,,,,,,,4.8,,
SURF_53,,Parcubacteria,,,,,,,,,,,,,,40,,,,1043,,,,,0.92,,,,71.4,,,,13.5,,,,,,,0.6,,
SURF_54,,Parcubacteria,,,,,,,,,,,,,,19,,,,885,,,,,0.78,,,,70.1,,,,13.6,,,,,,,2.1,,
SURF_55,,Firmicutes; Ammonifex,,,,,,,,,,,,,,89,,,,1892,,,,,1.82,,,,70.2,,,,5.5,,,,,,,3.8,,
SURF_56,,Parcubacteria,,,,,,,,,,,,,,24,,,,810,,,,,0.70,,,,68.4,,,,11.3,,,,,,,1.7,,
SURF_57,,Parcubacteria,,,,,,,,,,,,,,35,,,,931,,,,,0.91,,,,68.4,,,,7.5,,,,,,,2.1,,
SURF_58,,Woesearchaeota,,,,,,,,,,,,,,6,,,,1515,,,,,1.31,,,,68.1,,,,28.3,,,,,,,3.7,,
SURF_59,,WS3,,,,,,,,,,,,,,99,,,,1631,,,,,1.85,,,,68.1,,,,10.7,,,,,,,1.1,,
SURF_60,,Firmicutes; Desulforudis,,,,,,,,,,,,,,75,,,,3205,,,,,3.14,,,,74.1,,,,20.8,,,,,,,7.4,,
SURF_61,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,316,,,,7377,,,,,8.09,,,,67.2,,,,11.7,,,,,,,7.7,,
SURF_62,,Parcubacteria,,,,,,,,,,,,,,64,,,,1121,,,,,1.40,,,,64.2,,,,7.3,,,,,,,2.6,,
SURF_63,,Microgenomates,,,,,,,,,,,,,,27,,,,874,,,,,0.76,,,,63.5,,,,15.1,,,,,,,0.8,,
SURF_64,,Microgenomates,,,,,,,,,,,,,,32,,,,991,,,,,0.93,,,,63.3,,,,13.3,,,,,,,0.6,,
SURF_65,,Woesearchaeota,,,,,,,,,,,,,,26,,,,1363,,,,,1.15,,,,62.5,,,,24.5,,,,,,,3.4,,
SURF_66,,Nitrospirae; Nitrospiraceae,,,,,,,,,,,,,,120,,,,2914,,,,,3.13,,,,62.4,,,,11.5,,,,,,,2.6,,
SURF_67,,Proteobacteria; Desulfobacteraceae,,,,,,,,,,,,,,149,,,,2911,,,,,3.01,,,,62.0,,,,9.0,,,,,,,3.4,,
SURF_68,,Chloroflexi; Anaerolineaceae,,,,,,,,,,,,,,149,,,,4034,,,,,1.01,,,,60.9,,,,16.9,,,,,,,3.2,,
SURF_69,,Armatimonadetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF_70,,Parcubacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF_71,,Chloroflexi; Anaerolineaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF_72,,Parcubacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF_73,,Parcubacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF_74,,Firmicutes; Peptococcaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
